pair,timeframe,strategy,family,rr,trail_trigger,trail_step,trades,wins,winrate,net_pnl,pnl_per_day,days_ge_20,active_days
XAUUSDm,3m,ema_cross_8_34,indicator,2.0,2.0,1.0,8674,3676,42.38,7246.21,144.92,46,50
XAUUSDm,3m,z_revert_0.8,volatility,2.0,2.0,1.0,6228,2808,45.09,5879.5,117.59,42,50
XAUUSDm,3m,pressure_thrust_0.2,custom,2.0,2.0,1.0,7660,3210,41.91,5820.94,116.42,37,50
XAUUSDm,3m,z_break_0.8,volatility,2.0,2.0,1.0,6134,2586,42.16,5565.82,111.32,41,50
XAUUSDm,3m,z_revert_1.0,volatility,2.0,2.0,1.0,5375,2414,44.91,5183.09,103.66,40,50
XAUUSDm,3m,z_break_1.0,volatility,2.0,2.0,1.0,5280,2225,42.14,4963.4,99.27,42,50
XAUUSDm,3m,pressure_thrust_0.35,custom,2.0,2.0,1.0,6483,2699,41.63,4937.02,98.74,38,50
XAUUSDm,3m,donchian_break_20_k1.0,structure,2.0,2.0,1.0,4661,1999,42.89,4666.86,93.34,44,50
XAUUSDm,3m,z_revert_1.2,volatility,2.0,2.0,1.0,4466,2037,45.61,4643.08,92.86,36,50
XAUUSDm,3m,z_break_1.2,volatility,2.0,2.0,1.0,4368,1813,41.51,4266.67,85.33,38,50
XAUUSDm,3m,pressure_thrust_0.5,custom,2.0,2.0,1.0,4958,2093,42.21,4229.59,84.59,39,50
XAUUSDm,3m,rsi_revert_40_60,regime,2.0,2.0,1.0,3823,1759,46.01,4222.08,84.44,39,50
XAUUSDm,3m,rsi_trend_40_60,regime,2.0,2.0,1.0,3756,1561,41.56,3778.5,75.57,40,50
XAUUSDm,3m,z_revert_1.5,volatility,2.0,2.0,1.0,3233,1494,46.21,3519.87,70.4,35,50
XAUUSDm,3m,z_break_1.5,volatility,2.0,2.0,1.0,3147,1303,41.4,3318.86,66.38,37,50
XAUUSDm,3m,donchian_break_50_k1.0,structure,2.0,2.0,1.0,2585,1093,42.28,3184.7,63.69,35,50
XAUUSDm,3m,pressure_thrust_0.65,custom,2.0,2.0,1.0,3449,1424,41.29,2883.92,57.68,36,50
XAUUSDm,3m,donchian_break_20_k0.6,structure,2.0,2.0,1.0,2979,1214,40.75,2608.44,52.17,33,50
XAUUSDm,3m,rsi_revert_35_65,regime,2.0,2.0,1.0,1916,906,47.29,2587.77,51.76,35,50
XAUUSDm,3m,pressure_thrust_0.8,custom,2.0,2.0,1.0,2110,882,41.8,2249.83,45.0,35,50
XAUUSDm,3m,rsi_trend_35_65,regime,2.0,2.0,1.0,1887,762,40.38,2195.7,43.91,30,50
XAUUSDm,3m,donchian_break_20_k0.4,structure,2.0,2.0,1.0,2123,864,40.7,2080.1,41.6,34,50
XAUUSDm,3m,donchian_break_50_k0.6,structure,2.0,2.0,1.0,1616,645,39.91,1748.61,34.97,29,50
XAUUSDm,3m,donchian_break_50_k0.4,structure,2.0,2.0,1.0,1181,469,39.71,1531.57,30.63,26,50
XAUUSDm,3m,donchian_break_20_k0.2,structure,2.0,2.0,1.0,1166,497,42.62,1426.04,29.71,23,48
XAUUSDm,3m,rsi_trend_30_70,regime,2.0,2.0,1.0,836,332,39.71,1402.06,28.04,20,50
XAUUSDm,3m,rsi_revert_30_70,regime,2.0,2.0,1.0,862,399,46.29,1365.96,27.32,27,50
XAUUSDm,3m,engulfing_body_0.2,pattern,2.0,2.0,1.0,1311,562,42.87,1100.21,22.92,19,48
XAUUSDm,3m,engulfing_body_0.35,pattern,2.0,2.0,1.0,1255,534,42.55,1067.38,22.24,19,48
XAUUSDm,3m,donchian_break_50_k0.2,structure,2.0,2.0,1.0,648,265,40.9,933.97,19.46,20,48
XAUUSDm,3m,rsi_trend_25_75,regime,2.0,2.0,1.0,323,142,43.96,895.45,19.05,18,47
XAUUSDm,3m,engulfing_body_0.5,pattern,2.0,2.0,1.0,1077,454,42.15,864.26,18.01,17,48
XAUUSDm,3m,rsi_revert_25_75,regime,2.0,2.0,1.0,332,150,45.18,640.92,13.64,13,47
XAUUSDm,3m,engulfing_body_0.65,pattern,2.0,2.0,1.0,763,328,42.99,653.28,13.61,11,48
