pair,timeframe,strategy,trades,net_pnl,avg_daily_pnl,win_rate,max_dd
BTCUSDm,3m,S49_custom_both_12_45,1434,-414.73,-6.91,31.73,-428.03
BTCUSDm,3m,S27_donchian_both_30,1173,-430.08,-7.17,30.52,-447.28
BTCUSDm,3m,S24_donchian_short_15,920,-435.3,-7.38,34.24,-447.08
BTCUSDm,3m,S42_structure_long_12_36,1079,-479.59,-7.99,30.4,-479.59
BTCUSDm,3m,S44_custom_short_5_30,1253,-525.36,-8.9,31.84,-536.77
BTCUSDm,3m,S38_structure_long_8_32,1106,-538.88,-8.98,31.1,-538.88
BTCUSDm,3m,S47_custom_both_10_40,1639,-554.85,-9.25,31.12,-566.47
BTCUSDm,3m,S15_bb_rsi_both_20_2p4,1029,-555.11,-9.25,34.69,-560.86
BTCUSDm,3m,S17_bb_rsi_both_30_2p2,1462,-594.25,-9.9,32.83,-606.27
BTCUSDm,3m,S40_structure_long_10_30,1119,-625.16,-10.42,32.53,-625.16
BTCUSDm,3m,S36_structure_long_7_28,1134,-629.18,-10.49,34.3,-629.18
BTCUSDm,3m,S14_bb_rsi_long_20_2p0,1117,-637.27,-10.8,40.11,-642.2
BTCUSDm,3m,S25_donchian_both_20,1510,-673.91,-11.23,31.46,-693.25
BTCUSDm,3m,S45_custom_both_8_34,1924,-722.35,-12.04,30.98,-736.28
BTCUSDm,3m,S34_structure_long_6_24,1151,-746.48,-12.44,37.45,-746.48
BTCUSDm,3m,S23_donchian_both_15,1691,-861.29,-14.35,33.53,-871.85
BTCUSDm,3m,S41_structure_both_12_36,2154,-877.33,-14.62,31.01,-878.72
BTCUSDm,3m,S08_ema_rsi_long_9_30,2031,-948.12,-15.8,32.05,-962.06
BTCUSDm,3m,S09_ema_rsi_short_9_30,2285,-938.45,-15.91,33.17,-945.65
BTCUSDm,3m,S43_custom_both_5_30,2314,-1018.67,-16.98,31.89,-1029.94
BTCUSDm,3m,S11_ema_rsi_long_10_34,2076,-1035.24,-17.25,30.68,-1054.31
BTCUSDm,3m,S37_structure_both_8_32,2217,-1043.95,-17.4,31.48,-1047.71
BTCUSDm,3m,S12_ema_rsi_short_10_34,2340,-1045.97,-17.73,32.31,-1048.99
BTCUSDm,3m,S13_bb_rsi_both_20_2p0,2085,-1215.69,-20.26,39.47,-1220.99
BTCUSDm,3m,S39_structure_both_10_30,2264,-1235.9,-20.6,32.95,-1236.22
BTCUSDm,3m,S35_structure_both_7_28,2294,-1237.43,-20.62,34.7,-1237.79
BTCUSDm,3m,S05_ema_rsi_long_8_21,2411,-1348.92,-22.48,34.76,-1361.16
BTCUSDm,3m,S06_ema_rsi_short_8_21,2685,-1358.26,-23.02,35.9,-1360.87
BTCUSDm,3m,S33_structure_both_6_24,2335,-1493.32,-24.89,37.43,-1493.32
BTCUSDm,3m,S07_ema_rsi_both_9_30,4300,-1871.31,-31.19,32.6,-1888.26
BTCUSDm,3m,S02_ema_rsi_long_5_20,2778,-1896.08,-31.6,40.21,-1904.64
BTCUSDm,3m,S03_ema_rsi_short_5_20,3051,-1907.94,-32.34,41.49,-1909.54
BTCUSDm,3m,S10_ema_rsi_both_10_34,4410,-2075.38,-34.59,31.54,-2092.89
BTCUSDm,3m,S04_ema_rsi_both_8_21,5078,-2712.94,-45.22,35.27,-2719.21
BTCUSDm,3m,S01_ema_rsi_both_5_20,5799,-3787.08,-63.12,40.85,-3790.48
BTCUSDm,5m,S22_bb_rsi_long_40_2p8,187,-7.06,-0.13,44.39,-25.7
BTCUSDm,5m,S21_bb_rsi_both_40_2p8,340,-18.97,-0.32,41.18,-58.67
BTCUSDm,5m,S20_bb_rsi_long_30_2p6,256,-33.39,-0.58,39.84,-45.31
BTCUSDm,5m,S32_donchian_short_50,249,-54.8,-0.93,33.33,-69.57
BTCUSDm,5m,S19_bb_rsi_both_30_2p6,462,-73.29,-1.24,38.74,-84.56
BTCUSDm,5m,S30_donchian_short_40,290,-74.73,-1.27,32.41,-95.29
BTCUSDm,5m,S18_bb_rsi_long_30_2p2,496,-104.18,-1.77,39.92,-121.97
BTCUSDm,5m,S50_custom_short_12_45,477,-119.91,-2.03,31.45,-143.68
BTCUSDm,5m,S16_bb_rsi_long_20_2p4,353,-136.08,-2.31,38.53,-145.21
BTCUSDm,5m,S28_donchian_short_30,369,-151.98,-2.58,29.81,-160.6
BTCUSDm,5m,S31_donchian_both_50,481,-169.44,-2.87,29.31,-174.45
BTCUSDm,5m,S24_donchian_short_15,541,-178.71,-3.03,35.12,-191.84
BTCUSDm,5m,S26_donchian_short_20,490,-179.81,-3.05,31.84,-190.11
BTCUSDm,5m,S48_custom_short_10_40,560,-194.4,-3.29,29.82,-216.08
BTCUSDm,5m,S17_bb_rsi_both_30_2p2,882,-201.33,-3.41,38.66,-218.93
BTCUSDm,5m,S29_donchian_both_40,556,-203.78,-3.45,29.32,-206.65
BTCUSDm,5m,S49_custom_both_12_45,865,-222.23,-3.77,32.02,-246.2
BTCUSDm,5m,S42_structure_long_12_36,609,-254.88,-4.32,27.42,-259.58
BTCUSDm,5m,S14_bb_rsi_long_20_2p0,697,-261.23,-4.43,43.04,-266.49
BTCUSDm,5m,S38_structure_long_8_32,618,-271.65,-4.6,28.48,-275.48
BTCUSDm,5m,S15_bb_rsi_both_20_2p4,638,-273.73,-4.64,36.68,-285.15
BTCUSDm,5m,S40_structure_long_10_30,633,-292.75,-4.96,31.12,-292.84
BTCUSDm,5m,S46_custom_short_8_34,624,-293.48,-4.97,27.88,-310.36
BTCUSDm,5m,S44_custom_short_5_30,733,-303.86,-5.15,30.97,-324.64
BTCUSDm,5m,S36_structure_long_7_28,637,-309.93,-5.25,31.71,-309.93
BTCUSDm,5m,S27_donchian_both_30,699,-314.43,-5.33,28.61,-314.43
BTCUSDm,5m,S47_custom_both_10_40,1009,-324.2,-5.49,30.62,-346.95
BTCUSDm,5m,S25_donchian_both_20,921,-343.8,-5.83,31.27,-343.8
BTCUSDm,5m,S34_structure_long_6_24,653,-346.18,-5.87,35.53,-346.18
BTCUSDm,5m,S23_donchian_both_15,1020,-403.03,-6.83,33.53,-403.23
BTCUSDm,5m,S09_ema_rsi_short_9_30,1372,-438.32,-7.43,33.6,-446.5
BTCUSDm,5m,S08_ema_rsi_long_9_30,1163,-439.7,-7.45,32.33,-444.34
BTCUSDm,5m,S11_ema_rsi_long_10_34,1167,-452.38,-7.67,31.96,-460.04
BTCUSDm,5m,S41_structure_both_12_36,1248,-475.08,-8.05,28.69,-480.8
BTCUSDm,5m,S45_custom_both_8_34,1149,-502.84,-8.52,29.24,-521.92
BTCUSDm,5m,S13_bb_rsi_both_20_2p0,1262,-509.13,-8.63,41.76,-520.94
BTCUSDm,5m,S12_ema_rsi_short_10_34,1407,-511.36,-8.67,32.55,-519.45
BTCUSDm,5m,S37_structure_both_8_32,1271,-523.29,-8.87,29.66,-528.05
BTCUSDm,5m,S05_ema_rsi_long_8_21,1369,-534.6,-9.06,35.43,-538.09
BTCUSDm,5m,S39_structure_both_10_30,1305,-562.64,-9.54,32.41,-562.64
BTCUSDm,5m,S43_custom_both_5_30,1372,-586.55,-9.94,30.9,-599.45
BTCUSDm,5m,S35_structure_both_7_28,1316,-594.05,-10.07,33.28,-594.05
BTCUSDm,5m,S06_ema_rsi_short_8_21,1608,-604.19,-10.24,37.0,-605.18
BTCUSDm,5m,S33_structure_both_6_24,1349,-672.04,-11.39,36.99,-675.54
BTCUSDm,5m,S02_ema_rsi_long_5_20,1581,-769.83,-13.05,40.99,-773.98
BTCUSDm,5m,S03_ema_rsi_short_5_20,1825,-853.74,-14.47,42.74,-859.62
BTCUSDm,5m,S07_ema_rsi_both_9_30,2529,-880.79,-14.93,32.98,-886.6
BTCUSDm,5m,S10_ema_rsi_both_10_34,2566,-960.15,-16.27,32.31,-972.45
BTCUSDm,5m,S04_ema_rsi_both_8_21,2970,-1138.71,-19.3,36.3,-1142.14
BTCUSDm,5m,S01_ema_rsi_both_5_20,3388,-1599.16,-27.1,42.06,-1605.0
BTCXAUm,1m,S22_bb_rsi_long_40_2p8,757,-16.86,-0.26,34.21,-17.72
BTCXAUm,1m,S20_bb_rsi_long_30_2p6,1120,-22.7,-0.35,34.02,-23.95
BTCXAUm,1m,S21_bb_rsi_both_40_2p8,1482,-28.71,-0.45,35.16,-29.17
BTCXAUm,1m,S16_bb_rsi_long_20_2p4,1570,-32.52,-0.51,33.95,-33.89
BTCXAUm,1m,S19_bb_rsi_both_30_2p6,2124,-38.57,-0.6,34.46,-39.94
BTCXAUm,1m,S18_bb_rsi_long_30_2p2,2321,-45.75,-0.71,34.04,-47.19
BTCXAUm,1m,S15_bb_rsi_both_20_2p4,3040,-60.05,-0.94,34.11,-60.96
BTCXAUm,1m,S14_bb_rsi_long_20_2p0,3183,-65.75,-1.03,33.58,-67.68
BTCXAUm,1m,S17_bb_rsi_both_30_2p2,4423,-76.6,-1.2,34.14,-78.68
BTCXAUm,1m,S26_donchian_short_20,2681,-89.44,-1.4,27.45,-90.46
BTCXAUm,1m,S42_structure_long_12_36,3072,-91.45,-1.43,27.77,-92.22
BTCXAUm,1m,S40_structure_long_10_30,3097,-92.16,-1.44,27.93,-92.78
BTCXAUm,1m,S34_structure_long_6_24,3137,-92.49,-1.45,28.02,-92.96
BTCXAUm,1m,S36_structure_long_7_28,3116,-93.39,-1.46,27.89,-93.93
BTCXAUm,1m,S38_structure_long_8_32,3086,-93.87,-1.47,27.77,-94.56
BTCXAUm,1m,S13_bb_rsi_both_20_2p0,6194,-120.33,-1.88,34.07,-121.49
BTCXAUm,1m,S44_custom_short_5_30,4065,-142.78,-2.23,27.01,-143.55
BTCXAUm,1m,S25_donchian_both_20,5192,-173.41,-2.71,27.31,-174.22
BTCXAUm,1m,S39_structure_both_10_30,6207,-182.7,-2.85,28.26,-183.65
BTCXAUm,1m,S33_structure_both_6_24,6276,-184.62,-2.88,28.44,-185.6
BTCXAUm,1m,S41_structure_both_12_36,6150,-184.62,-2.88,28.13,-185.61
BTCXAUm,1m,S35_structure_both_7_28,6234,-184.67,-2.89,28.26,-185.8
BTCXAUm,1m,S37_structure_both_8_32,6180,-185.14,-2.89,28.14,-186.22
