pair,timeframe,strategy,trades,net_pnl,avg_daily_pnl,win_rate,max_dd
BTCXAUm,5m,S48_custom_short_10_40,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S49_custom_both_12_45,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S50_custom_short_12_45,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S22_bb_rsi_long_40_2p8,959,-326.76,-5.19,36.18,-333.66
ETHUSDm,1m,S20_bb_rsi_long_30_2p6,1321,-493.51,-7.83,38.38,-499.26
ETHUSDm,1m,S21_bb_rsi_both_40_2p8,1730,-605.65,-9.61,36.47,-608.86
ETHUSDm,1m,S16_bb_rsi_long_20_2p4,1779,-917.31,-14.56,41.93,-922.56
ETHUSDm,1m,S19_bb_rsi_both_30_2p6,2475,-926.89,-14.71,37.21,-930.6
ETHUSDm,1m,S18_bb_rsi_long_30_2p2,2585,-1025.66,-16.28,39.03,-1037.62
ETHUSDm,1m,S15_bb_rsi_both_20_2p4,3356,-1839.83,-29.2,41.09,-1841.83
ETHUSDm,1m,S17_bb_rsi_both_30_2p2,4818,-1985.31,-31.51,38.11,-1992.88
ETHUSDm,1m,S14_bb_rsi_long_20_2p0,3503,-2395.92,-38.03,43.96,-2400.14
ETHUSDm,1m,S42_structure_long_12_36,3793,-2802.31,-44.48,28.55,-2809.51
ETHUSDm,1m,S26_donchian_short_20,3240,-2948.46,-46.8,28.15,-2948.46
ETHUSDm,1m,S38_structure_long_8_32,3861,-3176.94,-50.43,29.84,-3187.78
ETHUSDm,1m,S40_structure_long_10_30,3944,-3598.44,-57.12,31.77,-3603.64
ETHUSDm,1m,S36_structure_long_7_28,3964,-3661.61,-58.12,33.12,-3665.81
ETHUSDm,1m,S34_structure_long_6_24,4028,-4272.16,-67.81,35.33,-4274.3
ETHUSDm,1m,S44_custom_short_5_30,5628,-4590.1,-72.86,30.12,-4590.1
ETHUSDm,1m,S13_bb_rsi_both_20_2p0,6605,-4610.28,-73.18,43.54,-4614.5
ETHUSDm,1m,S41_structure_both_12_36,7412,-5362.37,-85.12,29.14,-5370.47
ETHUSDm,1m,S25_donchian_both_20,6158,-5794.19,-91.97,27.88,-5800.33
ETHUSDm,1m,S37_structure_both_8_32,7574,-6066.82,-96.3,30.55,-6074.74
ETHUSDm,1m,S39_structure_both_10_30,7759,-6961.12,-110.49,32.29,-6968.33
ETHUSDm,1m,S35_structure_both_7_28,7805,-7091.23,-112.56,33.72,-7097.04
ETHUSDm,1m,S09_ema_rsi_short_9_30,9919,-7574.74,-120.23,31.32,-7574.74
ETHUSDm,1m,S08_ema_rsi_long_9_30,9593,-8120.49,-128.9,29.25,-8120.49
ETHUSDm,1m,S33_structure_both_6_24,7944,-8256.83,-131.06,35.91,-8258.97
ETHUSDm,1m,S12_ema_rsi_short_10_34,10154,-8311.14,-131.92,30.07,-8311.14
ETHUSDm,1m,S11_ema_rsi_long_10_34,9716,-8669.12,-137.61,28.57,-8669.12
ETHUSDm,1m,S43_custom_both_5_30,10867,-9428.37,-149.66,29.26,-9428.97
ETHUSDm,1m,S06_ema_rsi_short_8_21,11933,-10526.75,-167.09,34.12,-10526.75
ETHUSDm,1m,S05_ema_rsi_long_8_21,11410,-10809.02,-171.57,32.37,-10811.94
ETHUSDm,1m,S03_ema_rsi_short_5_20,13928,-14675.25,-232.94,37.77,-14675.25
ETHUSDm,1m,S02_ema_rsi_long_5_20,13488,-14832.5,-235.44,36.16,-14832.5
ETHUSDm,1m,S07_ema_rsi_both_9_30,19393,-15598.3,-247.59,30.34,-15598.3
ETHUSDm,1m,S10_ema_rsi_both_10_34,19785,-16921.98,-268.6,29.32,-16921.98
ETHUSDm,1m,S04_ema_rsi_both_8_21,23175,-21241.08,-337.16,33.23,-21241.08
ETHUSDm,1m,S01_ema_rsi_both_5_20,27067,-29120.59,-462.23,36.95,-29120.59
ETHUSDm,1m,S23_donchian_both_15,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S24_donchian_short_15,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S27_donchian_both_30,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S28_donchian_short_30,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S29_donchian_both_40,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S30_donchian_short_40,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S31_donchian_both_50,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S32_donchian_short_50,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S45_custom_both_8_34,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S46_custom_short_8_34,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S47_custom_both_10_40,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S48_custom_short_10_40,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S49_custom_both_12_45,0,0.0,0.0,0.0,0.0
ETHUSDm,1m,S50_custom_short_12_45,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S22_bb_rsi_long_40_2p8,518,-127.84,-1.47,37.84,-135.78
ETHUSDm,3m,S20_bb_rsi_long_30_2p6,691,-190.38,-2.14,36.61,-199.72
ETHUSDm,3m,S21_bb_rsi_both_40_2p8,898,-203.09,-2.26,39.31,-204.23
ETHUSDm,3m,S19_bb_rsi_both_30_2p6,1204,-294.34,-3.27,38.04,-299.63
ETHUSDm,3m,S16_bb_rsi_long_20_2p4,926,-352.4,-3.87,40.71,-358.08
ETHUSDm,3m,S18_bb_rsi_long_30_2p2,1283,-398.91,-4.38,37.88,-405.61
ETHUSDm,3m,S15_bb_rsi_both_20_2p4,1638,-578.35,-6.36,41.09,-581.75
ETHUSDm,3m,S17_bb_rsi_both_30_2p2,2273,-644.45,-7.08,38.45,-648.49
ETHUSDm,3m,S14_bb_rsi_long_20_2p0,1756,-740.9,-8.14,44.31,-744.21
ETHUSDm,3m,S26_donchian_short_20,1443,-806.91,-8.87,31.05,-810.53
ETHUSDm,3m,S42_structure_long_12_36,1863,-1011.85,-11.24,29.36,-1013.54
ETHUSDm,3m,S38_structure_long_8_32,1900,-1131.75,-12.57,29.95,-1133.47
ETHUSDm,3m,S44_custom_short_5_30,2582,-1299.39,-14.28,31.33,-1305.38
ETHUSDm,3m,S13_bb_rsi_both_20_2p0,3181,-1300.11,-14.29,44.64,-1301.62
ETHUSDm,3m,S40_structure_long_10_30,1940,-1296.91,-14.41,31.29,-1299.82
ETHUSDm,3m,S36_structure_long_7_28,1948,-1346.1,-14.96,32.29,-1350.28
ETHUSDm,3m,S34_structure_long_6_24,1995,-1564.18,-17.38,35.34,-1568.62
ETHUSDm,3m,S25_donchian_both_20,2672,-1601.76,-17.6,30.01,-1611.59
ETHUSDm,3m,S41_structure_both_12_36,3629,-1766.98,-19.42,30.92,-1766.98
ETHUSDm,3m,S37_structure_both_8_32,3714,-2006.62,-22.05,31.53,-2006.62
ETHUSDm,3m,S09_ema_rsi_short_9_30,4588,-2246.72,-24.69,33.04,-2251.37
ETHUSDm,3m,S39_structure_both_10_30,3798,-2331.88,-25.63,32.94,-2331.88
ETHUSDm,3m,S12_ema_rsi_short_10_34,4682,-2386.8,-26.23,32.02,-2390.78
ETHUSDm,3m,S35_structure_both_7_28,3824,-2443.82,-26.86,33.92,-2446.44
ETHUSDm,3m,S08_ema_rsi_long_9_30,4373,-2460.65,-27.34,30.51,-2486.59
ETHUSDm,3m,S11_ema_rsi_long_10_34,4484,-2683.83,-29.82,29.97,-2705.38
ETHUSDm,3m,S33_structure_both_6_24,3916,-2839.93,-31.21,36.7,-2839.93
ETHUSDm,3m,S43_custom_both_5_30,5042,-2898.53,-31.85,30.31,-2912.13
ETHUSDm,3m,S06_ema_rsi_short_8_21,5549,-3044.85,-33.46,35.86,-3046.12
ETHUSDm,3m,S05_ema_rsi_long_8_21,5351,-3371.74,-37.46,33.86,-3389.23
ETHUSDm,3m,S03_ema_rsi_short_5_20,6508,-4358.9,-47.9,40.21,-4360.44
ETHUSDm,3m,S07_ema_rsi_both_9_30,8913,-4680.7,-51.44,31.82,-4704.1
ETHUSDm,3m,S02_ema_rsi_long_5_20,6293,-4685.73,-52.06,38.6,-4697.48
ETHUSDm,3m,S10_ema_rsi_both_10_34,9127,-5042.19,-55.41,31.03,-5060.68
ETHUSDm,3m,S04_ema_rsi_both_8_21,10829,-6415.89,-70.5,34.79,-6427.11
ETHUSDm,3m,S01_ema_rsi_both_5_20,12645,-8993.84,-98.83,39.21,-8999.96
ETHUSDm,3m,S23_donchian_both_15,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S24_donchian_short_15,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S27_donchian_both_30,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S28_donchian_short_30,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S29_donchian_both_40,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S30_donchian_short_40,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S31_donchian_both_50,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S32_donchian_short_50,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S45_custom_both_8_34,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S46_custom_short_8_34,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S47_custom_both_10_40,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S48_custom_short_10_40,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S49_custom_both_12_45,0,0.0,0.0,0.0,0.0
ETHUSDm,3m,S50_custom_short_12_45,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S22_bb_rsi_long_40_2p8,317,-51.78,-0.62,40.38,-69.65
ETHUSDm,5m,S21_bb_rsi_both_40_2p8,560,-56.38,-0.63,41.61,-78.11
ETHUSDm,5m,S20_bb_rsi_long_30_2p6,400,-92.13,-1.04,36.5,-103.37
ETHUSDm,5m,S19_bb_rsi_both_30_2p6,733,-126.5,-1.41,39.15,-138.46
ETHUSDm,5m,S18_bb_rsi_long_30_2p2,748,-126.4,-1.42,40.78,-131.98
ETHUSDm,5m,S16_bb_rsi_long_20_2p4,559,-186.44,-2.07,38.64,-189.74
ETHUSDm,5m,S17_bb_rsi_both_30_2p2,1358,-246.02,-2.73,39.91,-251.56
ETHUSDm,5m,S15_bb_rsi_both_20_2p4,1004,-319.47,-3.55,39.14,-326.9
ETHUSDm,5m,S26_donchian_short_20,811,-323.26,-3.59,30.7,-328.37
ETHUSDm,5m,S14_bb_rsi_long_20_2p0,1057,-350.41,-3.89,43.24,-357.48
ETHUSDm,5m,S42_structure_long_12_36,1074,-448.06,-4.98,29.98,-448.06
ETHUSDm,5m,S38_structure_long_8_32,1099,-499.95,-5.55,30.66,-502.31
ETHUSDm,5m,S40_structure_long_10_30,1123,-565.14,-6.28,32.32,-567.07
ETHUSDm,5m,S36_structure_long_7_28,1133,-600.17,-6.67,33.1,-601.91
ETHUSDm,5m,S44_custom_short_5_30,1569,-629.07,-6.99,31.55,-635.8
ETHUSDm,5m,S13_bb_rsi_both_20_2p0,1930,-645.56,-7.17,43.21,-650.29
ETHUSDm,5m,S34_structure_long_6_24,1163,-721.72,-8.02,35.6,-723.15
ETHUSDm,5m,S25_donchian_both_20,1548,-738.91,-8.21,29.72,-748.16
ETHUSDm,5m,S41_structure_both_12_36,2161,-761.98,-8.47,32.02,-767.2
ETHUSDm,5m,S37_structure_both_8_32,2213,-876.23,-9.74,32.54,-884.79
ETHUSDm,5m,S09_ema_rsi_short_9_30,2741,-985.32,-10.95,33.86,-988.69
ETHUSDm,5m,S39_structure_both_10_30,2271,-998.22,-11.09,33.95,-1003.15
ETHUSDm,5m,S12_ema_rsi_short_10_34,2791,-1022.29,-11.36,33.18,-1026.46
ETHUSDm,5m,S35_structure_both_7_28,2287,-1067.42,-11.86,34.89,-1070.75
ETHUSDm,5m,S08_ema_rsi_long_9_30,2545,-1073.18,-11.92,31.98,-1090.51
ETHUSDm,5m,S11_ema_rsi_long_10_34,2600,-1210.17,-13.45,30.38,-1221.89
ETHUSDm,5m,S33_structure_both_6_24,2346,-1255.44,-13.95,37.68,-1258.32
ETHUSDm,5m,S43_custom_both_5_30,3017,-1263.39,-14.04,31.39,-1292.47
ETHUSDm,5m,S05_ema_rsi_long_8_21,3055,-1428.62,-15.87,34.73,-1446.3
ETHUSDm,5m,S06_ema_rsi_short_8_21,3324,-1456.13,-16.18,36.16,-1456.94
ETHUSDm,5m,S03_ema_rsi_short_5_20,3914,-2044.81,-22.72,41.21,-2047.21
ETHUSDm,5m,S07_ema_rsi_both_9_30,5255,-2070.31,-23.0,32.84,-2080.75
ETHUSDm,5m,S02_ema_rsi_long_5_20,3698,-2104.2,-23.38,39.81,-2111.04
ETHUSDm,5m,S10_ema_rsi_both_10_34,5370,-2243.9,-24.93,31.75,-2251.84
ETHUSDm,5m,S04_ema_rsi_both_8_21,6334,-2887.52,-32.08,35.36,-2889.15
ETHUSDm,5m,S01_ema_rsi_both_5_20,7523,-4118.09,-45.76,40.5,-4125.64
ETHUSDm,5m,S23_donchian_both_15,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S24_donchian_short_15,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S27_donchian_both_30,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S28_donchian_short_30,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S29_donchian_both_40,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S30_donchian_short_40,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S31_donchian_both_50,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S32_donchian_short_50,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S45_custom_both_8_34,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S46_custom_short_8_34,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S47_custom_both_10_40,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S48_custom_short_10_40,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S49_custom_both_12_45,0,0.0,0.0,0.0,0.0
ETHUSDm,5m,S50_custom_short_12_45,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S22_bb_rsi_long_40_2p8,736,-206.1,-2.82,13.86,-206.1
USDJPYm,1m,S20_bb_rsi_long_30_2p6,1086,-317.43,-4.18,15.01,-317.43
USDJPYm,1m,S21_bb_rsi_both_40_2p8,1307,-391.82,-5.16,12.01,-391.82
USDJPYm,1m,S16_bb_rsi_long_20_2p4,1528,-454.29,-5.82,3.08,-454.29
USDJPYm,1m,S19_bb_rsi_both_30_2p6,1942,-592.63,-7.7,12.77,-592.63
USDJPYm,1m,S18_bb_rsi_long_30_2p2,2251,-663.42,-8.62,5.11,-663.42
USDJPYm,1m,S26_donchian_short_20,2612,-836.96,-10.73,11.33,-836.96
USDJPYm,1m,S15_bb_rsi_both_20_2p4,2797,-858.21,-11.0,2.11,-858.21
USDJPYm,1m,S14_bb_rsi_long_20_2p0,3216,-965.77,-12.38,1.52,-965.77
USDJPYm,1m,S44_custom_short_5_30,4131,-1296.65,-16.62,13.51,-1296.65
USDJPYm,1m,S42_structure_long_12_36,4179,-1320.73,-16.93,10.1,-1320.73
USDJPYm,1m,S38_structure_long_8_32,4222,-1335.88,-17.13,11.49,-1335.88
USDJPYm,1m,S17_bb_rsi_both_30_2p2,4395,-1338.37,-17.16,3.87,-1338.37
USDJPYm,1m,S40_structure_long_10_30,4275,-1353.12,-17.35,13.05,-1353.12
USDJPYm,1m,S36_structure_long_7_28,4313,-1367.85,-17.54,14.63,-1367.85
USDJPYm,1m,S34_structure_long_6_24,4370,-1387.9,-17.79,1.01,-1387.9
USDJPYm,1m,S25_donchian_both_20,5498,-1733.0,-22.22,10.69,-1733.0
USDJPYm,1m,S13_bb_rsi_both_20_2p0,6363,-1953.38,-25.04,0.99,-1953.38
USDJPYm,1m,S12_ema_rsi_short_10_34,7785,-2434.05,-31.21,11.56,-2434.05
USDJPYm,1m,S09_ema_rsi_short_9_30,7886,-2489.75,-31.92,14.22,-2489.75
USDJPYm,1m,S41_structure_both_12_36,7868,-2490.42,-31.93,10.71,-2490.42
USDJPYm,1m,S37_structure_both_8_32,7951,-2518.47,-32.29,12.24,-2518.47
USDJPYm,1m,S39_structure_both_10_30,8044,-2545.93,-32.64,14.06,-2545.93
USDJPYm,1m,S35_structure_both_7_28,8127,-2577.28,-33.04,15.71,-2577.28
USDJPYm,1m,S33_structure_both_6_24,8228,-2611.05,-33.47,1.15,-2611.05
USDJPYm,1m,S43_custom_both_5_30,8429,-2623.88,-33.64,12.33,-2623.88
USDJPYm,1m,S11_ema_rsi_long_10_34,8488,-2603.46,-33.81,8.91,-2603.46
USDJPYm,1m,S08_ema_rsi_long_9_30,8499,-2615.83,-33.97,11.35,-2615.83
USDJPYm,1m,S06_ema_rsi_short_8_21,9093,-2866.39,-36.75,2.91,-2866.39
USDJPYm,1m,S05_ema_rsi_long_8_21,9801,-3037.08,-39.44,1.49,-3037.08
USDJPYm,1m,S03_ema_rsi_short_5_20,10200,-3238.71,-41.52,1.27,-3238.71
USDJPYm,1m,S02_ema_rsi_long_5_20,10890,-3396.97,-43.55,0.59,-3396.97
USDJPYm,1m,S10_ema_rsi_both_10_34,16162,-5007.94,-64.2,10.17,-5007.94
USDJPYm,1m,S07_ema_rsi_both_9_30,16218,-5057.97,-64.85,12.74,-5057.97
USDJPYm,1m,S04_ema_rsi_both_8_21,18627,-5825.46,-74.69,2.17,-5825.46
USDJPYm,1m,S01_ema_rsi_both_5_20,20623,-6494.79,-83.27,0.94,-6494.79
USDJPYm,1m,S23_donchian_both_15,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S24_donchian_short_15,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S27_donchian_both_30,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S28_donchian_short_30,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S29_donchian_both_40,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S30_donchian_short_40,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S31_donchian_both_50,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S32_donchian_short_50,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S45_custom_both_8_34,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S46_custom_short_8_34,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S47_custom_both_10_40,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S48_custom_short_10_40,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S49_custom_both_12_45,0,0.0,0.0,0.0,0.0
USDJPYm,1m,S50_custom_short_12_45,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S22_bb_rsi_long_40_2p8,251,-60.83,-0.89,21.51,-60.83
USDJPYm,3m,S20_bb_rsi_long_30_2p6,357,-92.45,-1.34,23.53,-92.66
USDJPYm,3m,S21_bb_rsi_both_40_2p8,438,-125.4,-1.67,17.35,-125.58
USDJPYm,3m,S16_bb_rsi_long_20_2p4,516,-138.85,-1.96,16.67,-139.0
USDJPYm,3m,S19_bb_rsi_both_30_2p6,625,-183.68,-2.45,19.36,-183.99
USDJPYm,3m,S18_bb_rsi_long_30_2p2,761,-198.46,-2.76,23.26,-198.98
USDJPYm,3m,S15_bb_rsi_both_20_2p4,963,-286.85,-3.77,13.29,-287.03
USDJPYm,3m,S26_donchian_short_20,954,-314.74,-4.37,21.38,-314.74
USDJPYm,3m,S14_bb_rsi_long_20_2p0,1109,-324.14,-4.44,10.19,-324.2
USDJPYm,3m,S17_bb_rsi_both_30_2p2,1460,-430.23,-5.66,17.47,-430.81
USDJPYm,3m,S42_structure_long_12_36,1572,-490.24,-6.54,18.89,-490.24
USDJPYm,3m,S38_structure_long_8_32,1614,-503.6,-6.71,21.56,-503.6
USDJPYm,3m,S40_structure_long_10_30,1657,-511.2,-6.82,25.65,-511.2
USDJPYm,3m,S36_structure_long_7_28,1675,-521.1,-6.95,27.52,-521.1
USDJPYm,3m,S44_custom_short_5_30,1595,-516.47,-6.98,22.57,-516.6
USDJPYm,3m,S34_structure_long_6_24,1723,-535.78,-7.14,9.46,-535.78
USDJPYm,3m,S25_donchian_both_20,2048,-639.31,-8.3,22.27,-639.47
USDJPYm,3m,S13_bb_rsi_both_20_2p0,2200,-675.32,-8.89,8.09,-675.32
USDJPYm,3m,S41_structure_both_12_36,2904,-908.27,-11.8,19.46,-908.27
USDJPYm,3m,S37_structure_both_8_32,2983,-934.25,-12.13,22.16,-934.25
USDJPYm,3m,S09_ema_rsi_short_9_30,2876,-927.11,-12.36,23.23,-927.14
USDJPYm,3m,S12_ema_rsi_short_10_34,2874,-902.95,-12.37,21.29,-903.04
USDJPYm,3m,S39_structure_both_10_30,3061,-953.25,-12.38,25.94,-953.25
USDJPYm,3m,S35_structure_both_7_28,3090,-965.47,-12.54,27.99,-965.47
USDJPYm,3m,S08_ema_rsi_long_9_30,3130,-955.64,-12.57,22.43,-955.64
USDJPYm,3m,S11_ema_rsi_long_10_34,3166,-964.0,-12.68,19.58,-964.0
USDJPYm,3m,S33_structure_both_6_24,3180,-994.98,-12.92,10.41,-994.98
USDJPYm,3m,S43_custom_both_5_30,3239,-1003.13,-13.03,23.09,-1003.39
USDJPYm,3m,S06_ema_rsi_short_8_21,3463,-1109.82,-14.8,15.28,-1109.82
USDJPYm,3m,S05_ema_rsi_long_8_21,3749,-1171.26,-15.21,11.39,-1171.26
USDJPYm,3m,S03_ema_rsi_short_5_20,4017,-1309.29,-17.23,8.61,-1309.29
USDJPYm,3m,S02_ema_rsi_long_5_20,4349,-1364.66,-17.72,4.81,-1364.66
USDJPYm,3m,S10_ema_rsi_both_10_34,6001,-1852.0,-24.05,20.45,-1852.0
USDJPYm,3m,S07_ema_rsi_both_9_30,5954,-1861.13,-24.17,22.89,-1861.13
USDJPYm,3m,S04_ema_rsi_both_8_21,7131,-2253.34,-29.26,13.31,-2253.34
USDJPYm,3m,S01_ema_rsi_both_5_20,8244,-2628.94,-34.14,6.67,-2628.94
USDJPYm,3m,S23_donchian_both_15,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S24_donchian_short_15,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S27_donchian_both_30,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S28_donchian_short_30,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S29_donchian_both_40,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S30_donchian_short_40,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S31_donchian_both_50,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S32_donchian_short_50,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S45_custom_both_8_34,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S46_custom_short_8_34,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S47_custom_both_10_40,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S48_custom_short_10_40,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S49_custom_both_12_45,0,0.0,0.0,0.0,0.0
USDJPYm,3m,S50_custom_short_12_45,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S22_bb_rsi_long_40_2p8,148,-24.84,-0.41,29.05,-26.25
USDJPYm,5m,S20_bb_rsi_long_30_2p6,219,-42.27,-0.63,30.59,-43.23
USDJPYm,5m,S21_bb_rsi_both_40_2p8,293,-70.41,-0.96,22.18,-70.41
USDJPYm,5m,S16_bb_rsi_long_20_2p4,334,-84.47,-1.22,26.35,-84.47
USDJPYm,5m,S19_bb_rsi_both_30_2p6,414,-97.71,-1.29,25.85,-97.71
USDJPYm,5m,S18_bb_rsi_long_30_2p2,436,-103.28,-1.48,30.96,-104.08
USDJPYm,5m,S15_bb_rsi_both_20_2p4,587,-165.41,-2.18,22.32,-165.48
USDJPYm,5m,S14_bb_rsi_long_20_2p0,656,-187.53,-2.64,19.21,-187.53
USDJPYm,5m,S26_donchian_short_20,575,-203.38,-2.91,22.78,-203.38
USDJPYm,5m,S17_bb_rsi_both_30_2p2,916,-256.68,-3.38,25.0,-257.68
USDJPYm,5m,S42_structure_long_12_36,938,-276.09,-3.83,21.86,-276.09
USDJPYm,5m,S38_structure_long_8_32,981,-289.03,-3.96,25.69,-289.03
USDJPYm,5m,S40_structure_long_10_30,1023,-307.45,-4.21,29.62,-307.45
USDJPYm,5m,S36_structure_long_7_28,1037,-312.02,-4.27,31.73,-312.02
USDJPYm,5m,S44_custom_short_5_30,984,-311.69,-4.33,27.03,-311.69
USDJPYm,5m,S34_structure_long_6_24,1074,-327.96,-4.49,20.3,-328.01
USDJPYm,5m,S25_donchian_both_20,1256,-399.31,-5.25,23.89,-399.31
USDJPYm,5m,S13_bb_rsi_both_20_2p0,1327,-420.86,-5.54,15.0,-420.86
USDJPYm,5m,S41_structure_both_12_36,1754,-529.17,-7.06,22.75,-529.32
USDJPYm,5m,S37_structure_both_8_32,1818,-552.88,-7.37,25.85,-552.97
USDJPYm,5m,S09_ema_rsi_short_9_30,1747,-569.43,-7.8,25.3,-569.94
USDJPYm,5m,S39_structure_both_10_30,1893,-589.57,-7.86,29.32,-589.61
USDJPYm,5m,S12_ema_rsi_short_10_34,1740,-579.0,-7.93,21.78,-579.62
USDJPYm,5m,S35_structure_both_7_28,1920,-601.06,-8.01,31.41,-601.08
USDJPYm,5m,S08_ema_rsi_long_9_30,1968,-597.31,-8.07,25.36,-597.31
USDJPYm,5m,S33_structure_both_6_24,1988,-627.95,-8.37,19.82,-628.06
USDJPYm,5m,S11_ema_rsi_long_10_34,2004,-616.84,-8.45,22.31,-616.84
USDJPYm,5m,S43_custom_both_5_30,2071,-643.78,-8.47,26.12,-643.78
USDJPYm,5m,S06_ema_rsi_short_8_21,2120,-699.02,-9.58,23.4,-699.12
USDJPYm,5m,S05_ema_rsi_long_8_21,2334,-724.1,-9.79,22.15,-724.1
USDJPYm,5m,S03_ema_rsi_short_5_20,2518,-831.42,-11.24,17.12,-831.42
USDJPYm,5m,S02_ema_rsi_long_5_20,2728,-863.68,-11.67,13.56,-863.68
USDJPYm,5m,S07_ema_rsi_both_9_30,3695,-1159.55,-15.26,25.3,-1160.07
USDJPYm,5m,S10_ema_rsi_both_10_34,3728,-1190.88,-15.67,22.0,-1191.5
USDJPYm,5m,S04_ema_rsi_both_8_21,4425,-1417.24,-18.65,22.73,-1417.35
USDJPYm,5m,S01_ema_rsi_both_5_20,5176,-1672.44,-22.01,15.34,-1672.44
USDJPYm,5m,S23_donchian_both_15,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S24_donchian_short_15,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S27_donchian_both_30,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S28_donchian_short_30,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S29_donchian_both_40,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S30_donchian_short_40,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S31_donchian_both_50,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S32_donchian_short_50,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S45_custom_both_8_34,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S46_custom_short_8_34,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S47_custom_both_10_40,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S48_custom_short_10_40,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S49_custom_both_12_45,0,0.0,0.0,0.0,0.0
USDJPYm,5m,S50_custom_short_12_45,0,0.0,0.0,0.0,0.0
