time,open,high,low,close,tick_volume,spread,real_volume
2025-12-31 20:00:00,57.354,57.361,57.34,57.34,33,18,0
2025-12-31 20:05:00,57.339,57.339,57.316,57.338,25,18,0
2025-12-31 20:10:00,57.343,57.351,57.334,57.345,24,18,0
2025-12-31 20:15:00,57.344,57.355,57.34,57.34,15,18,0
2025-12-31 20:20:00,57.339,57.339,57.311,57.319,27,18,0
2025-12-31 20:25:00,57.32,57.338,57.319,57.338,16,18,0
2025-12-31 20:30:00,57.342,57.345,57.327,57.344,20,18,0
2025-12-31 20:35:00,57.342,57.342,57.331,57.333,19,18,0
2025-12-31 20:40:00,57.332,57.338,57.328,57.335,15,18,0
2025-12-31 20:45:00,57.334,57.344,57.33,57.34,22,18,0
2025-12-31 20:50:00,57.337,57.361,57.293,57.311,48,18,0
2025-12-31 20:55:00,57.312,57.333,57.306,57.313,56,18,0
2025-12-31 21:00:00,57.309,57.309,57.3,57.301,21,18,0
2025-12-31 21:05:00,57.3,57.3,57.291,57.291,13,18,0
2025-12-31 21:10:00,57.291,57.339,57.291,57.333,30,18,0
2025-12-31 21:15:00,57.334,57.351,57.316,57.351,38,18,0
2025-12-31 21:20:00,57.357,57.358,57.324,57.334,19,18,0
2025-12-31 21:25:00,57.335,57.343,57.335,57.34,10,18,0
2025-12-31 21:30:00,57.342,57.342,57.326,57.326,14,18,0
2025-12-31 21:35:00,57.33,57.332,57.327,57.327,9,18,0
2025-12-31 21:40:00,57.329,57.341,57.313,57.32,12,18,0
2025-12-31 21:45:00,57.31,57.332,57.31,57.31,19,18,0
2025-12-31 21:50:00,57.305,57.314,57.3,57.309,7,18,0
2025-12-31 21:55:00,57.304,57.304,57.296,57.299,8,18,0
2026-01-01 23:00:00,57.425,57.425,57.347,57.375,39,18,0
2026-01-01 23:05:00,57.376,57.428,57.375,57.428,13,18,0
2026-01-01 23:10:00,57.421,57.421,57.391,57.395,19,18,0
2026-01-01 23:15:00,57.392,57.417,57.384,57.404,10,18,0
2026-01-01 23:20:00,57.399,57.399,57.371,57.387,18,18,0
2026-01-01 23:25:00,57.382,57.425,57.37,57.425,21,18,0
2026-01-01 23:30:00,57.429,57.433,57.358,57.358,17,18,0
2026-01-01 23:35:00,57.358,57.369,57.358,57.359,7,18,0
2026-01-01 23:40:00,57.351,57.351,57.319,57.337,11,18,0
2026-01-01 23:45:00,57.335,57.354,57.324,57.35,18,18,0
2026-01-01 23:50:00,57.352,57.352,57.344,57.352,11,18,0
2026-01-01 23:55:00,57.352,57.368,57.351,57.368,14,18,0
2026-01-02 00:00:00,57.365,57.365,57.322,57.326,19,18,0
2026-01-02 00:05:00,57.328,57.335,57.323,57.324,17,18,0
