time,open,high,low,close,tick_volume,spread,real_volume
2025-12-31 20:00:00,20.26548,20.29389,20.26293,20.28222,104,1015,0
2025-12-31 20:05:00,20.27953,20.28213,20.25314,20.26258,81,1016,0
2025-12-31 20:10:00,20.26212,20.26212,20.23321,20.24814,78,1014,0
2025-12-31 20:15:00,20.24939,20.25395,20.22027,20.22335,73,1015,0
2025-12-31 20:20:00,20.2204,20.24368,20.21735,20.237,72,1014,0
2025-12-31 20:25:00,20.24009,20.24009,20.22035,20.23584,82,1015,0
2025-12-31 20:30:00,20.23775,20.23775,20.18639,20.19318,87,1014,0
2025-12-31 20:35:00,20.19062,20.20392,20.17326,20.18917,88,1018,0
2025-12-31 20:40:00,20.19078,20.20017,20.15805,20.19588,113,1015,0
2025-12-31 20:45:00,20.19317,20.2168,20.18799,20.20711,85,1015,0
2025-12-31 20:50:00,20.20967,20.27251,20.20658,20.26477,101,1018,0
2025-12-31 20:55:00,20.26139,20.30476,20.25604,20.28163,142,1021,0
2025-12-31 21:00:00,20.28438,20.31666,20.28428,20.30026,92,1021,0
2025-12-31 21:05:00,20.30021,20.32743,20.29555,20.30119,76,640,0
2025-12-31 21:10:00,20.30136,20.30944,20.2952,20.30736,74,640,0
2025-12-31 21:15:00,20.30714,20.3318,20.30429,20.32252,72,640,0
2025-12-31 21:20:00,20.32098,20.33973,20.31757,20.33034,80,641,0
2025-12-31 21:25:00,20.33003,20.33434,20.32451,20.32514,69,641,0
2025-12-31 21:30:00,20.32419,20.32886,20.32025,20.32113,70,641,0
2025-12-31 21:35:00,20.32282,20.32636,20.31145,20.31382,78,640,0
2025-12-31 21:40:00,20.31556,20.32223,20.30962,20.3162,68,640,0
2025-12-31 21:45:00,20.31444,20.32387,20.31076,20.31981,71,640,0
2025-12-31 21:50:00,20.31844,20.32132,20.30429,20.30429,78,640,0
2025-12-31 21:55:00,20.30259,20.30704,20.28742,20.29346,70,640,0
2025-12-31 22:00:00,20.29172,20.29365,20.2863,20.29357,44,640,0
2025-12-31 22:05:00,20.29352,20.2953,20.28659,20.28839,50,640,0
2025-12-31 22:10:00,20.28845,20.30256,20.28845,20.30256,47,640,0
2025-12-31 22:15:00,20.30314,20.3058,20.29482,20.30212,43,640,0
2025-12-31 22:20:00,20.30153,20.30664,20.29796,20.30416,40,640,0
2025-12-31 22:25:00,20.30589,20.31491,20.30589,20.30765,45,640,0
2025-12-31 22:30:00,20.30769,20.30876,20.28138,20.28138,51,639,0
2025-12-31 22:35:00,20.28136,20.29606,20.28131,20.29154,46,639,0
2025-12-31 22:40:00,20.29008,20.29008,20.26881,20.27991,62,639,0
2025-12-31 22:45:00,20.27993,20.28349,20.2719,20.28261,46,639,0
2025-12-31 22:50:00,20.28259,20.28934,20.2598,20.26748,61,639,0
2025-12-31 22:55:00,20.26168,20.28131,20.26168,20.27924,64,639,0
2025-12-31 23:00:00,20.27685,20.28023,20.26672,20.26672,64,639,0
2025-12-31 23:05:00,20.26677,20.27362,20.26086,20.26996,55,639,0
2025-12-31 23:10:00,20.26893,20.27292,20.26262,20.2682,36,639,0
2025-12-31 23:15:00,20.26827,20.26864,20.25975,20.26187,44,639,0
