time,open,high,low,close,volume
2026-01-31 20:00:00,77636.05,77781.28,77527.79,77673.19,816
2026-01-31 20:05:00,77665.35,77841.54,77592.84,77717.64,607
2026-01-31 20:10:00,77717.81,77740.25,77395.21,77419.98,606
2026-01-31 20:15:00,77415.17,77528.1,77285.63,77504.39,751
2026-01-31 20:20:00,77497.8,78029.32,77393.95,77585.98,1257
2026-01-31 20:25:00,77589.32,77634.35,77270.35,77290.26,657
2026-01-31 20:30:00,77286.69,77292.49,76967.36,77028.61,954
2026-01-31 20:35:00,77028.75,77276.47,77000.41,77138.57,1030
2026-01-31 20:40:00,77135.96,77456.01,77098.29,77408.5,822
2026-01-31 20:45:00,77407.83,77431.38,77201.62,77294.78,781
2026-01-31 20:50:00,77291.49,77607.42,77273.95,77607.42,582
2026-01-31 20:55:00,77606.57,77996.44,77557.66,77882.71,814
2026-01-31 21:00:00,77878.58,78060.64,77523.58,77604.19,788
2026-01-31 21:05:00,77611.68,77873.78,77572.9,77839.85,775
2026-01-31 21:10:00,77843.22,77847.67,77507.97,77571.39,516
2026-01-31 21:15:00,77567.73,77682.04,77508.58,77568.66,711
2026-01-31 21:20:00,77569.92,77592.28,77262.81,77376.04,869
2026-01-31 21:25:00,77379.17,77868.82,77379.17,77725.22,770
2026-01-31 21:30:00,77715.07,77884.54,77623.14,77870.17,660
2026-01-31 21:35:00,77876.36,78107.93,77860.43,78036.07,658
2026-01-31 21:40:00,78035.07,78160.4,77968.65,78063.12,683
2026-01-31 21:45:00,78060.43,78133.65,77967.46,78048.1,525
2026-01-31 21:50:00,78065.04,78205.44,78029.86,78137.76,580
2026-01-31 21:55:00,78135.51,78283.61,78046.58,78204.99,457
2026-01-31 22:00:00,78207.31,78391.12,78155.17,78372.49,538
2026-01-31 22:05:00,78369.16,78391.39,78156.91,78176.47,508
2026-01-31 22:10:00,78175.29,78201.46,78046.39,78085.7,400
2026-01-31 22:15:00,78093.34,78184.43,77957.73,78005.94,393
2026-01-31 22:20:00,78000.9,78156.15,77997.07,78106.22,362
2026-01-31 22:25:00,78110.52,78267.57,78049.63,78226.77,321
2026-01-31 22:30:00,78226.19,78334.7,78128.32,78209.98,356
2026-01-31 22:35:00,78202.79,78202.79,77984.53,78106.44,334
2026-01-31 22:40:00,78100.79,78231.26,77943.87,77994.81,420
2026-01-31 22:45:00,77984.96,78021.47,77867.28,77903.72,315
2026-01-31 22:50:00,77902.07,78031.37,77902.07,78014.49,215
2026-01-31 22:55:00,78012.71,78167.91,77988.96,78049.46,399
2026-01-31 23:00:00,78046.56,78137.24,77958.23,78118.42,435
2026-01-31 23:05:00,78124.51,78250.96,78077.26,78231.98,396
2026-01-31 23:10:00,78227.54,78241.97,78049.22,78131.48,394
2026-01-31 23:15:00,78131.52,78477.8,78040.4,78477.8,460
2026-01-31 23:20:00,78480.8,79137.96,78405.42,79110.86,1866
2026-01-31 23:25:00,79108.27,79108.27,78754.47,78874.54,717
2026-01-31 23:30:00,78875.42,79020.71,78725.76,79020.71,532
2026-01-31 23:35:00,79026.96,79088.3,78771.65,78808.66,544
2026-01-31 23:40:00,78813.14,78937.4,78663.48,78741.34,417
2026-01-31 23:45:00,78746.61,78782.34,78538.63,78651.22,454
2026-01-31 23:50:00,78640.76,78858.21,78636.63,78676.93,366
2026-01-31 23:55:00,78677.62,78722.78,78549.44,78631.26,398
2026-02-01 00:00:00,78654.77,78845.21,78535.58,78831.91,631
2026-02-01 00:05:00,78832.3,79079.56,78797.41,79079.56,537
2026-02-01 00:10:00,79081.9,79310.63,79016.1,79248.31,796
2026-02-01 00:15:00,79247.9,79349.55,79101.55,79223.9,830
2026-02-01 00:20:00,79224.09,79229.08,78886.97,78906.63,519
2026-02-01 00:25:00,78905.81,79077.4,78879.64,79012.93,465
2026-02-01 00:30:00,79010.3,79149.14,78895.65,78930.56,592
2026-02-01 00:35:00,78930.99,78981.84,78688.26,78703.88,546
2026-02-01 00:40:00,78708.04,78810.84,78662.01,78679.76,400
2026-02-01 00:45:00,78683.46,78908.82,78655.28,78873.07,447
2026-02-01 00:50:00,78875.64,79036.19,78845.73,78923.3,452
2026-02-01 00:55:00,78922.79,78953.51,78788.52,78817.72,357
2026-02-01 01:00:00,78806.32,78862.88,78600.1,78691.52,462
2026-02-01 01:05:00,78694.12,78717.82,78504.7,78552.27,540
2026-02-01 01:10:00,78550.81,78638.17,78376.76,78612.25,492
2026-02-01 01:15:00,78615.38,78615.38,78293.71,78327.99,501
2026-02-01 01:20:00,78332.26,78536.62,78297.83,78535.66,394
2026-02-01 01:25:00,78531.43,78792.75,78486.59,78739.03,355
2026-02-01 01:30:00,78737.85,78781.05,78502.91,78598.05,510
2026-02-01 01:35:00,78599.04,78637.49,78404.71,78412.63,398
2026-02-01 01:40:00,78409.73,78453.52,78188.6,78257.28,478
2026-02-01 01:45:00,78258.9,78396.07,78194.77,78388.53,420
2026-02-01 01:50:00,78387.76,78441.29,78337.63,78388.25,315
2026-02-01 01:55:00,78387.49,78456.09,78381.17,78439.19,237
2026-02-01 02:00:00,78441.79,78536.03,78278.31,78308.35,336
2026-02-01 02:05:00,78305.87,78502.27,78291.23,78502.27,323
2026-02-01 02:10:00,78499.15,78774.71,78499.15,78727.4,498
2026-02-01 02:15:00,78727.08,78818.92,78680.27,78699.53,450
2026-02-01 02:20:00,78697.72,78705.99,78415.49,78492.68,422
2026-02-01 02:25:00,78492.6,78550.09,78440.89,78550.09,272
2026-02-01 02:30:00,78552.11,78656.18,78513.93,78623.82,334
2026-02-01 02:35:00,78624.07,78731.41,78597.57,78692.23,389
2026-02-01 02:40:00,78689.13,78715.43,78610.82,78664.6,270
2026-02-01 02:45:00,78658.98,78786.52,78628.12,78768.3,322
2026-02-01 02:50:00,78773.19,78946.65,78706.75,78946.65,391
2026-02-01 02:55:00,78953.38,78976.26,78801.69,78808.68,359
2026-02-01 03:00:00,78803.85,78919.24,78704.71,78708.84,372
2026-02-01 03:05:00,78706.91,78840.1,78655.83,78805.82,378
2026-02-01 03:10:00,78809.12,78851.99,78724.18,78778.38,272
2026-02-01 03:15:00,78787.79,78814.97,78609.97,78609.97,341
2026-02-01 03:20:00,78616.24,78724.11,78578.55,78661.65,275
2026-02-01 03:25:00,78671.55,78713.5,78623.64,78659.52,220
2026-02-01 03:30:00,78662.97,78715.67,78590.43,78653.59,289
2026-02-01 03:35:00,78653.1,78695.75,78614.27,78691.54,240
2026-02-01 03:40:00,78689.97,78793.94,78614.23,78640.53,223
2026-02-01 03:45:00,78636.5,78789.96,78636.5,78789.96,225
2026-02-01 03:50:00,78793.57,78834.77,78733.12,78776.51,262
2026-02-01 03:55:00,78778.58,78815.52,78726.33,78780.05,183
2026-02-01 04:00:00,78789.09,78790.45,78683.55,78686.32,211
2026-02-01 04:05:00,78688.63,78730.07,78628.23,78730.07,251
2026-02-01 04:10:00,78731.04,78928.16,78731.04,78880.32,289
2026-02-01 04:15:00,78879.44,79026.39,78848.85,79010.17,352
2026-02-01 04:20:00,79013.95,79053.81,78890.5,78913.79,291
2026-02-01 04:25:00,78913.89,78913.89,78815.63,78856.3,182
2026-02-01 04:30:00,78858.56,78935.43,78827.21,78868.53,289
2026-02-01 04:35:00,78867.9,78930.4,78820.81,78894.02,221
2026-02-01 04:40:00,78896.53,78936.1,78872.0,78915.24,183
2026-02-01 04:45:00,78913.78,78973.81,78886.47,78917.95,213
2026-02-01 04:50:00,78923.31,78954.5,78885.04,78949.51,198
2026-02-01 04:55:00,78944.72,78957.1,78876.54,78879.99,121
2026-02-01 05:00:00,78885.11,78922.48,78693.84,78718.87,331
2026-02-01 05:05:00,78718.51,78796.72,78656.73,78671.65,255
2026-02-01 05:10:00,78672.73,78817.48,78648.87,78762.02,282
2026-02-01 05:15:00,78761.91,78843.7,78707.12,78712.95,198
2026-02-01 05:20:00,78715.17,78825.47,78639.46,78807.91,207
2026-02-01 05:25:00,78808.13,78893.73,78763.28,78849.03,173
2026-02-01 05:30:00,78857.05,78861.88,78752.28,78768.18,161
2026-02-01 05:35:00,78768.28,78790.57,78614.0,78617.93,152
2026-02-01 05:40:00,78623.07,78645.69,78455.22,78502.14,199
2026-02-01 05:45:00,78504.71,78562.66,78437.55,78467.85,282
2026-02-01 05:50:00,78477.65,78557.3,78437.87,78478.92,250
2026-02-01 05:55:00,78478.79,78549.52,78478.79,78529.88,205
2026-02-01 06:00:00,78528.38,78594.2,78507.09,78523.6,183
2026-02-01 06:05:00,78528.86,78593.98,78515.81,78559.11,194
2026-02-01 06:10:00,78561.24,78634.71,78533.08,78618.15,166
2026-02-01 06:15:00,78619.72,78645.98,78607.68,78626.82,121
2026-02-01 06:20:00,78628.48,78721.38,78621.91,78648.45,184
2026-02-01 06:25:00,78656.65,78744.27,78594.94,78625.81,197
2026-02-01 06:30:00,78623.72,78713.73,78601.04,78614.0,172
2026-02-01 06:35:00,78614.43,78642.26,78304.09,78443.68,330
2026-02-01 06:40:00,78436.63,78521.8,78431.13,78442.15,254
2026-02-01 06:45:00,78437.1,78445.56,78218.25,78237.06,468
2026-02-01 06:50:00,78244.61,78305.5,78168.13,78283.63,464
2026-02-01 06:55:00,78282.5,78370.12,78217.21,78217.64,237
2026-02-01 07:00:00,78216.03,78256.61,78027.69,78061.51,316
2026-02-01 07:05:00,78068.09,78164.99,77871.88,78157.38,511
2026-02-01 07:10:00,78158.54,78283.15,78001.81,78045.73,538
2026-02-01 07:15:00,78044.05,78120.22,77916.29,77920.49,440
2026-02-01 07:20:00,77919.4,78087.64,77919.4,78021.73,326
2026-02-01 07:25:00,78021.83,78137.72,78016.38,78129.84,188
2026-02-01 07:30:00,78130.77,78226.65,78083.14,78179.62,290
2026-02-01 07:35:00,78180.5,78319.17,78180.5,78289.83,324
2026-02-01 07:40:00,78291.68,78634.31,78291.68,78485.47,676
2026-02-01 07:45:00,78482.49,78503.33,78353.31,78367.43,310
2026-02-01 07:50:00,78368.04,78443.84,78318.88,78350.24,276
2026-02-01 07:55:00,78345.78,78412.03,78260.29,78278.87,269
2026-02-01 08:00:00,78278.75,78448.43,78268.01,78407.24,365
2026-02-01 08:05:00,78408.75,78423.13,78342.94,78391.8,222
2026-02-01 08:10:00,78393.78,78456.64,78358.56,78364.48,175
2026-02-01 08:15:00,78370.06,78395.18,78161.77,78250.46,327
2026-02-01 08:20:00,78247.12,78420.47,78170.72,78343.59,402
2026-02-01 08:25:00,78344.32,78426.2,78240.27,78423.25,353
2026-02-01 08:30:00,78427.73,78444.04,78367.63,78410.96,175
2026-02-01 08:35:00,78415.97,78732.28,78415.97,78679.86,421
2026-02-01 08:40:00,78680.58,78789.15,78665.61,78784.48,267
2026-02-01 08:45:00,78783.85,78788.26,78577.55,78594.0,308
2026-02-01 08:50:00,78599.42,78683.3,78521.11,78533.84,262
2026-02-01 08:55:00,78530.35,78542.82,78462.14,78512.74,203
2026-02-01 09:00:00,78516.21,78670.79,78452.49,78655.02,281
2026-02-01 09:05:00,78659.0,78755.19,78621.1,78697.11,330
2026-02-01 09:10:00,78707.12,78720.28,78644.71,78674.72,176
2026-02-01 09:15:00,78683.98,78709.69,78594.37,78632.19,237
2026-02-01 09:20:00,78629.93,78695.67,78597.32,78658.14,256
2026-02-01 09:25:00,78660.11,78677.52,78549.63,78597.35,148
2026-02-01 09:30:00,78598.7,78749.13,78593.34,78712.68,196
2026-02-01 09:35:00,78712.59,78767.58,78707.82,78739.37,195
2026-02-01 09:40:00,78739.73,78835.68,78705.49,78788.99,230
2026-02-01 09:45:00,78789.24,78790.54,78663.83,78741.49,212
2026-02-01 09:50:00,78739.58,78771.19,78706.29,78758.61,146
2026-02-01 09:55:00,78758.4,79073.71,78714.72,78957.17,419
2026-02-01 10:00:00,78954.66,79004.9,78805.16,78848.87,322
2026-02-01 10:05:00,78848.76,78966.43,78807.7,78924.05,275
2026-02-01 10:10:00,78924.09,79160.02,78903.55,79103.34,342
2026-02-01 10:15:00,79099.3,79099.3,78908.07,78937.24,357
2026-02-01 10:20:00,78938.01,78999.63,78911.33,78999.63,188
2026-02-01 10:25:00,79000.53,79007.24,78922.28,78949.01,214
2026-02-01 10:30:00,78950.56,78965.03,78639.29,78709.65,513
2026-02-01 10:35:00,78708.13,78738.13,78332.45,78446.81,875
